from,to,area
TH,VFB,1
VFB,TH,3
TH,PV,1
PV,TH,3
TH,NZ,1
NZ,TH,3
TH,FCB,1
FCB,TH,3
TH,AV,1
AV,TH,3
TH,F,1
F,TH,3
TH,DAF,1
DAF,TH,3
OS,FIFA,1
FIFA,OS,3
OS,VFLW,1
VFLW,OS,3
OS,KCM,1
KCM,OS,3
OS,GL,1
GL,OS,4
OS,RB,1
RB,OS,4
CV,IH,2
IH,CV,4
CV,MT,2
MT,CV,4
CV,RB,2
RB,CV,4
CV,MVV,2
MVV,CV,4
CV,FCPF,2
FCPF,CV,4
WP,DAG,2
DAP,WP,4
WP,DTAG,2
DTAG,WP,4
WP,SWM,2
SWM,WP,4
WP,MFT,2
MFT,WP,4
WP,MBAG,2
MBAG,WP,4
RA,DFB,2
DFB,RA,4
RA,HEV,2
HEV,RA,4
HJ,KSE,2
KSE,HJ,4
FR,MBAG,2
MBAG,FR,4
FR,DAG,2
DAG,FR,4
BS,FCCG,2
FCCG,BS,4
BS,MVV,2
MVV,BS,3
BS,RB,2
RB,BS,4
